,question,option_A,option_B,option_C,option_D,answer
49,有關氣逆病機臨床表現的敘述，下列何者最不適宜？,(A)噫氣,(B)梅核氣,(C)奔豚,(D)薄厥,B
50,④過服溫燥壯陽之品,(A)1,(B)2,(C)3,(D)4,D
51,關於經脈病機的敘述，下列何者符合「經絡氣血衰竭」？,(A)《靈樞‧經脈》：「氣盛則身以前皆熱，其有餘於胃，則消穀善飢，溺色黃；氣不足則身以前皆,(B)《素問‧診要經終論》：「太陽之脈，其終也，戴眼，反折，瘛瘲，其色白，絕汗乃出，出則死,(C)《靈樞‧經脈》：「足陽明之別，實則狂癲；虛則足不收，脛枯」,(D)《素問‧調經論》：「血之與氣並走於上，則為大厥，厥則暴死，氣復反則生，不反則死」,B
52,依《難經》，有關「臟腑傳病」，下列敘述何者錯誤？,(A)臟病難治,(B)腑病易治,(C)七傳者死,(D)間臟者死,D
53,依《素問‧調經論》，有關陰盛生內寒的病機表現，下列敘述何者錯誤？,(A)血凝泣脈不通,(B)寒氣積於胸中而不瀉,(C)厥氣上逆,(D)脈盛大以滑,D
54,因強烈疼痛刺激而導致昏厥，病機最有可能是下列何者？,(A)氣逆,(B)氣滯,(C)氣陷,(D)氣閉,D
55,依《素問‧玉機真藏論》，有關「五實」的表現，下列敘述何者錯誤？,(A)飲食不入,(B)前後不通,(C)脈盛、皮熱,(D)腹脹、悶瞀,A
56,六淫中最易致腫瘍的邪氣，下列何者最正確？,(A)火邪,(B)濕邪,(C)寒邪,(D)風邪,A
57,⑤其性炎上,(A)①②③④,(B)①③④⑤,(C)②④⑤,(D)①②⑤,A
58,有關「六淫」，下列敘述何者錯誤？,(A)風能全兼五氣,(B)暑多夾濕,(C)寒邪易阻滯衛氣，閉塞營血,(D)風邪較常傷於下部之腰膝,D
59,有關「亡陽證」的病機，下列敘述何者錯誤？,(A)陽氣大量耗傷脫失,(B)過用汗法，陽隨津泄,(C)臨床表現為煩躁、喘渴,(D)陰陽即將離決,C
60,依《素問‧熱論》，傷寒傳少陰，出現之症狀為何？,(A)口燥舌乾,(B)頭項痛,(C)煩滿而囊縮,(D)腰脊強,A
61,病因所致？,(A)風,(B)寒,(C)暑,(D)濕,C
62,依《素問‧生氣通天論》，有關寒氣所襲病位與其病症的表現，下列敘述何者錯誤？,(A)筋－大僂,(B)脈－瘻,(C)皮毛－痤疿,(D)背俞－驚駭,C
63,依《靈樞‧決氣》，液脫者之臨床表現不包括下列何者？,(A)骨屬屈伸不利,(B)腦髓消,(C)脛痠,(D)面白不澤,D
64,陽氣被阻，津液不化，以聚而為水腫。依《素問‧湯液醪醴論》，其治療原則，下列何者錯誤？,(A)開鬼門,(B)潔淨府,(C)去宛陳莝,(D)溫臍腹,D
65,依《靈樞‧水脹》，有關「膚脹」，下列敘述何者錯誤？,(A)寒氣客於皮膚之間,(B)腹大身盡腫,(C)按其腹，隨手而起,(D)腹色不變,C
66,下列何臟腑之咳？,(A)肺咳,(B)心咳,(C)脾咳,(D)腎咳,B
67,正確？,(A)濕邪客於脈而不去,(B)寒邪久留而化熱,(C)屬於肺風,(D)名曰癘風,D
68,面色，其病甚為嚴重？,(A)青色黃色,(B)青色白色,(C)白色黑色,(D)黃色黑色,C
69,依《靈樞‧大惑論》，因邪中於項，再逢身之虛所引起的眩暈症狀，下列何者正確？,(A)諸氣掉眩，皆屬於肝,(B)腦轉引目系急，目眩以轉,(C)厥陰司天，客勝則耳鳴掉眩,(D)陽不勝其陰，則五藏氣爭九竅不通,B
70,依《素問‧厥論》，有關六經之厥逆，下列何者為「攣腰痛，虛滿，前閉，譫言」？,(A)少陰厥逆,(B)厥陰厥逆,(C)太陰厥逆,(D)陽明厥逆,B
71,依《素問‧評熱病論》，有關「陰陽交」，下列敘述何者錯誤？,(A)狂言不能食,(B)汗出輒復熱，而脈躁疾，不為汗衰,(C)汗出而脈尚躁盛者生,(D)狂言者是失志，失志者死,C
72,個臟腑？,(A)腎,(B)肝,(C)脾,(D)膀胱,B
73,依《素問‧舉痛論》，有關「百病生於氣」，下列敘述何者正確？,(A)悲則肺系急，肺布葉舉而上焦不通，故氣消,(B)驚則神無所歸，慮無所定，故氣亂,(C)炅則腠理開，榮衛通，汗大泄，故氣升,(D)恐則心無所依，精卻，故氣下,B
74,依《靈樞‧癰疽》，有關癰疽的發病部位、症狀、預後，下列敘述何者較正確？,(A)色黑較易治,(B)出現寒熱及煩心等症病情較輕,(C)按之堅者難治,(D)病發於雙側較輕,C
75,依《素問‧病能論》分析臨床患者胃脘癰之脈象與症狀表現，下列敘述何者正確？,(A)當候胃脈，其脈當沉細，沉細者氣逆，逆者人迎甚盛，甚盛則熱,(B)人迎者非胃脈也，氣滯而盛，則肝氣滯聚於胃口而不行,(C)當候右關與左關脈，其脈當數，肝胃不和,(D)會大便下血與癰膿排出,A
76,且伴隨兩脅痛。關於其病機之敘述，下列何者最不適當？,(A)跌落時傷厥陰肝經,(B)因受到驚嚇，肝氣上乘於肺則咳,(C)惡血積於脅下,(D)可歸屬於肝咳,B
77,依《難經》，有關臨床診斷疾病的虛實之法，下列何者正確？,(A)濡脈為虛,(B)按之牢者為虛,(C)痛者為虛,(D)癢者為實,A
78,依《素問‧舉痛論》，患者主訴腹痛，做身體檢查時，下列敘述何者錯誤？,(A)若寒氣客於經脈中，痛不可按,(B)若寒氣客於俠脊之經脈，按之不能及,(C)若寒氣客於經脈之外，與衛氣相爭，痛甚不可按,(D)若寒氣客於腸胃之間、膜原之下，按之痛止,C
79,依《素問‧風論》，有關「風邪傷人」，下列敘述何者正確？,(A)風邪能使腠理閉而感到洒然惡寒,(B)風邪傷人，熱則肌肉消瘦，寒則飲食減少,(C)風氣由陽明經入胃，若人瘦弱，風氣不得發泄，會產生目黃,(D)風氣由太陰經脈而入，與營氣相干，其道不利，形成瘡瘍,B
